-- S05 DOJ FCA settlements: every row
FCA_SETTLEMENT_ID | COMPANY_ID | PERSON_NAME | SETTLEMENT_DATE | CASE_TITLE | CASE_NUMBER | DISTRICT | FISCAL_YEAR | SETTLEMENT_AMOUNT | IS_QUI_TAM | RELATOR_NAME | RELATOR_SHARE | FRAUD_TYPE | AGENCY_DEFRAUDED | PRESS_RELEASE_URL | SOURCE_URL | _INGESTED_AT | _SOURCE_RUN_ID
8526aa7c79d99f971a37614d3644c760 |  |  | 2023-03-21 | Commercial Litigation Branch |  |  | 2023 |  | False |  |  | Financial | VA | https://www.justice.gov/civil/commercial-litigation-branch | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
89d868894f8518d5ceb62ca6a1563902 |  |  | 2024-09-26 | Contact the Division |  |  | 2024 |  | False |  |  | Grant Fraud | VA | https://www.justice.gov/civil/contact-division | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
90fb2190ef0e431bff327a247afcd7b9 |  |  | 2025-01-15 | The False Claims Act |  |  | 2025 |  | True |  |  | Defense Contracting | Defense | https://www.justice.gov/civil/false-claims-act | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
e1dd4978813b7714a3a1e222c415b057 |  |  | 2025-03-13 | Report Fraud Against the Federal Government |  |  | 2025 |  | True |  |  | Healthcare | HHS | https://www.justice.gov/civil/report-fraud | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
456b9996e8c1f3984aee315acac7e0a1 |  |  | 2025-05-23 | Contact the Fraud Section |  |  | 2025 |  | False |  |  | Grant Fraud | VA | https://www.justice.gov/civil/contact-us-9 | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
3622ec8e863940110fc05d5d5ff79cc6 |  |  | 2025-06-11 | Civil Division Leadership |  |  | 2025 |  | False |  |  | Grant Fraud | VA | https://www.justice.gov/civil/civil-division-leadership | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
46b6e23aef5c23699116b4cbd6db7748 |  |  | 2025-09-29 | About the Civil Division |  |  | 2025 |  | False |  |  | Healthcare | Medicare | https://www.justice.gov/civil/about | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
b4d3febdede576003274b636344d841c |  |  | 2025-09-30 | Documents and Forms |  |  | 2025 |  | False |  |  | Financial | VA | https://www.justice.gov/civil/documents-and-forms-0 | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
af6a550e69dad08867310e234741bea7 |  |  | 2026-01-16 | Fraud Section |  |  | 2026 | 6.8 | False |  |  | Healthcare | Defense | https://www.justice.gov/civil/fraud-section | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
fe063c98cf4daf3f5b34bf897e95171b |  |  | 2026-06-10 | Fraud Section Press Releases |  |  | 2026 | 40.0 | False |  |  | Healthcare | VA | https://www.justice.gov/civil/fraud-section-press-releases | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
cb431a37a6f5df01dc90bb5035ef268d |  |  | 2026-06-16 | Civil Division Press Room |  |  | 2026 | 10.0 | False |  |  | Healthcare | Medicaid | https://www.justice.gov/civil/civil-division-press-room | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
cfab1ba8c67c7c838db98d666f02a132 |  |  |  | Civil Division Branches, Sections and Offices |  |  |  |  | False |  |  | Healthcare | Medicare | https://www.justice.gov/civil/org-chart | https://www.justice.gov/civil/false-claims-act | 1781716821393581 | 32e52764-91c7-417f-a40f-adfcc3bd1715
(12 rows; csv has all)
